Idx,elevation,azimuth,X,Y,x_light,y_light
336,58.9933,180,-0.857107,-7.49306e-08,0.144828,0.0309472
337,58.9933,180,-0.857107,-7.49306e-08,0.143904,0.0306353
338,58.9933,180,-0.857107,-7.49306e-08,0.143573,0.0308684
339,58.9933,180,-0.857107,-7.49306e-08,0.143561,0.031133
340,58.9933,180,-0.857107,-7.49306e-08,0.144164,0.0312101
341,60.1241,180,-0.867107,-7.58049e-08,0.142686,0.031329
342,60.1241,180,-0.867107,-7.58049e-08,0.143755,0.0308248
343,60.1241,180,-0.867107,-7.58049e-08,0.14319,0.0311475
344,60.1241,180,-0.867107,-7.58049e-08,0.142659,0.030898
345,60.1241,180,-0.867107,-7.58049e-08,0.142074,0.0308246
346,61.2953,180,-0.877107,-7.66791e-08,0.142161,0.0315462
347,61.2953,180,-0.877107,-7.66791e-08,0.141559,0.0312012
348,61.2953,180,-0.877107,-7.66791e-08,0.141723,0.0302722
349,61.2953,180,-0.877107,-7.66791e-08,0.141937,0.0305289
350,61.2953,180,-0.877107,-7.66791e-08,0.143089,0.0313917
351,62.5119,180,-0.887107,-7.75533e-08,0.139713,0.0311416
352,62.5119,180,-0.887107,-7.75533e-08,0.140409,0.0309147
353,62.5119,180,-0.887107,-7.75533e-08,0.140521,0.031219
354,62.5119,180,-0.887107,-7.75533e-08,0.140361,0.0305195
355,62.5119,180,-0.887107,-7.75533e-08,0.139945,0.0304382
356,63.7803,180,-0.897107,-7.84275e-08,0.137656,0.0306541
357,63.7803,180,-0.897107,-7.84275e-08,0.13719,0.0305543
358,63.7803,180,-0.897107,-7.84275e-08,0.138599,0.0289891
359,63.7803,180,-0.897107,-7.84275e-08,0.137376,0.0314184
360,63.7803,180,-0.897107,-7.84275e-08,0.137302,0.0297653
361,65.1085,180,-0.907107,-7.93018e-08,0.132235,0.029905
362,65.1085,180,-0.907107,-7.93018e-08,0.130338,0.0290382
363,65.1085,180,-0.907107,-7.93018e-08,0.131702,0.0294489
364,65.1085,180,-0.907107,-7.93018e-08,0.132408,0.0286841
365,65.1085,180,-0.907107,-7.93018e-08,0.132435,0.0283389
366,66.5067,180,-0.917107,-8.0176e-08,0.121169,0.027394
367,66.5067,180,-0.917107,-8.0176e-08,0.12265,0.0282978
368,66.5067,180,-0.917107,-8.0176e-08,0.122509,0.0270606
369,66.5067,180,-0.917107,-8.0176e-08,0.121258,0.0277681
370,66.5067,180,-0.917107,-8.0176e-08,0.122772,0.0266625
371,67.9882,180,-0.927107,-8.10502e-08,0.10513,0.0264663
372,67.9882,180,-0.927107,-8.10502e-08,0.105976,0.0253919
373,67.9882,180,-0.927107,-8.10502e-08,0.105336,0.0257416
374,67.9882,180,-0.927107,-8.10502e-08,0.105453,0.0243982
375,67.9882,180,-0.927107,-8.10502e-08,0.105362,0.0252542
376,69.5712,180,-0.937107,-8.19245e-08,0.0719151,0.0256963
377,69.5712,180,-0.937107,-8.19245e-08,0.0726026,0.0249774
378,69.5712,180,-0.937107,-8.19245e-08,0.0728843,0.0253022
379,69.5712,180,-0.937107,-8.19245e-08,0.0713883,0.0251831
380,69.5712,180,-0.937107,-8.19245e-08,0.0725754,0.0272212
381,71.2815,180,-0.947107,-8.27987e-08,0.0589125,0.0311111
382,71.2815,180,-0.947107,-8.27987e-08,0.0578803,0.0295094
383,71.2815,180,-0.947107,-8.27987e-08,0.0588459,0.0308739
384,71.2815,180,-0.947107,-8.27987e-08,0.0579,0.029735
385,71.2815,180,-0.947107,-8.27987e-08,0.0575478,0.0294873
386,73.1578,180,-0.957107,-8.36729e-08,0.062103,0.0329682
387,73.1578,180,-0.957107,-8.36729e-08,0.0622739,0.032014
388,73.1578,180,-0.957107,-8.36729e-08,0.0621674,0.0325377
389,73.1578,180,-0.957107,-8.36729e-08,0.0618528,0.0345697
390,73.1578,180,-0.957107,-8.36729e-08,0.0631689,0.031996
391,45,270,8.43216e-09,-0.707107,-0.0518087,0.189626
392,45,270,8.43216e-09,-0.707107,-0.0510502,0.189284
393,45,270,8.43216e-09,-0.707107,-0.0519522,0.189725
394,45,270,8.43216e-09,-0.707107,-0.051755,0.189896
395,45,270,8.43216e-09,-0.707107,-0.051527,0.189643
396,45.8161,270,8.55141e-09,-0.717107,-0.051977,0.19285
