Idx,X,Y,X_interp,Y_interp,azimuth,elevation,azimuth_interp,elevation_interp,x_light,y_light
64,-0.173648,-1.51808e-08,-0.1737,0.0009,180,10,179.703,10.0032,0.0547194,-0.0195447
65,-0.0868241,-0.150384,-0.0871,-0.1486,240,10,239.624,9.91838,0.0344598,0.015811
66,0.0868241,-0.150384,0.0861,-0.1529,300,10,299.384,10.1063,-0.00774023,0.0159016
67,0.190809,-9.46513e-17,0.1843,0.0006,-2.84217e-14,11,0.186529,10.6204,-0.0312121,-0.0184176
68,0.0954045,0.165245,0.0922,0.1717,60,11,61.765,11.2382,-0.0087535,-0.0581232
69,-0.0954045,0.165245,-0.0962,0.1627,120,11,120.595,10.8952,0.0366633,-0.0574001
70,-0.190809,-1.66811e-08,-0.1884,-0.0022,180,11,180.669,10.8602,0.0588597,-0.0191217
71,-0.0954045,-0.165245,-0.1003,-0.1617,240,11,238.189,10.9692,0.0365882,0.0190551
72,0.0954045,-0.165245,0.0982,-0.1658,300,11,300.637,11.1103,-0.00994792,0.0196618
73,0.207912,-1.03135e-16,0.209,0.0018,-2.84217e-14,12,0.493444,12.0642,-0.0356156,-0.0184249
