id,X,Y,azimuth,elevation,x_light,y_light,new_indexes
288,-0.13595,0.05651,157.4289,8.4663,0.0512,-0.0256,331
287,-0.03465,0.05341,122.9737,3.6502,0.0256,-0.0256,332
283,0.38218,0.05341,7.9556,22.6993,-0.0768,-0.0256,333
284,0.27984,0.05487,11.0936,16.5689,-0.0512,-0.0256,334
433,-0.70361,0.60049,139.5212,67.6708,0.2304,-0.1792,335
417,0.68326,0.58487,40.5635,64.0791,-0.1792,-0.1792,336
357,-0.12814,0.37742,108.7532,23.4894,0.0512,-0.1024,337
356,-0.02946,0.37855,94.45,22.3148,0.0256,-0.1024,338
346,0.86588,0.30981,19.6871,66.8729,-0.2304,-0.1024,339
347,0.78938,0.32031,22.086,58.418,-0.2048,-0.1024,340
340,-0.68391,0.2487,160.0165,46.6961,0.2048,-0.0768,341
328,0.4719,0.25407,28.2979,32.4083,-0.1024,-0.0768,342
306,0.38105,0.15867,22.6069,24.3787,-0.0768,-0.0512,343
307,0.28038,0.16254,30.1014,18.9103,-0.0512,-0.0512,344
317,-0.69579,0.15479,167.4579,45.4632,0.2048,-0.0512,345
318,-0.76542,0.15028,168.892,51.2636,0.2304,-0.0512,346
319,-0.83689,0.1468,170.0509,58.1755,0.256,-0.0512,347
286,0.06684,0.05289,38.3543,4.8895,0.0,-0.0256,348
285,0.17361,0.05492,17.5543,10.4915,-0.0256,-0.0256,349
432,-0.63251,0.60274,136.3806,60.8923,0.2048,-0.1792,350
418,0.60601,0.59839,44.6375,58.3923,-0.1536,-0.1792,351
419,0.52255,0.61326,49.5662,53.6775,-0.128,-0.1792,352
343,-0.88716,0.23422,165.2107,66.5716,0.2816,-0.0768,353
342,-0.83122,0.2361,164.1433,59.7802,0.256,-0.0768,354
341,-0.76755,0.24367,162.3872,53.6392,0.2304,-0.0768,355
327,0.5591,0.24738,23.8675,37.6896,-0.128,-0.0768,356
326,0.6438,0.24199,20.6001,43.4544,-0.1536,-0.0768,357
325,0.72542,0.23686,18.0826,49.7391,-0.1792,-0.0768,358
324,0.80398,0.22598,15.6994,56.6299,-0.2048,-0.0768,359
323,0.87876,0.22032,14.0749,64.9526,-0.2304,-0.0768,360
320,-0.89261,0.14658,170.6744,64.7648,0.2816,-0.0512,361
430,-0.47958,0.62737,127.3954,52.1554,0.1536,-0.1792,362
431,-0.56277,0.6165,132.3913,56.5882,0.1792,-0.1792,363
420,0.44044,0.62221,54.7067,49.6692,-0.1024,-0.1792,364
421,0.35202,0.63057,60.8273,46.2343,-0.0768,-0.1792,365
422,0.25478,0.6428,68.3786,43.7451,-0.0512,-0.1792,366
423,0.16014,0.64799,76.1184,41.8732,-0.0256,-0.1792,367
424,0.07187,0.65055,83.6958,40.8823,0.0,-0.1792,368
425,-0.01985,0.65591,91.7334,41.0115,0.0256,-0.1792,369
426,-0.11412,0.65006,99.957,41.3,0.0512,-0.1792,370
427,-0.20802,0.64816,107.7935,42.9002,0.0768,-0.1792,371
428,-0.29893,0.64347,114.9177,45.1955,0.1024,-0.1792,372
429,-0.39087,0.63404,121.6528,48.1453,0.128,-0.1792,373
